source_id,verification_status,cycle,criterion,title,section_type,section_label,source_file_date,json_path,item_path,field_name,item_no,subitem_no,parent_source_id,source_kind,content_level,content,content_hash,source_files,input_positions,occurrence_count
c3__1_1__notes__item:5,source_verified,3,1.1,교육목표 및 인재상,notes,유의사항 및 관련 정책,2026-04-22,cycle_3[0].items[4].content,item:5,items,5,,,caution_policy_item,item,"대학요람은 인쇄물이 아닌 파일(HWP 또는 PDF 형식)로 제출해야 하고, 대학요람을 별도 제작, 발간하지 않더라도 기존 요람에 준하는 내용을 제출해야 함",92e00a8e94,"편람원본json/[검증완료]3주기, 4주기 편람 유의사항 및 관련 정책 비교(20260422).json",1,1
c3__1_1__overview__content,source_verified,3,1.1,교육목표 및 인재상,overview,편람 개요,2026-04-17,cycle_3[0].content,content,content,,,,overview_content,criterion,"대학은 교육이념 및 교육목적을 달성하기 위한 명료한 교육목표와 인재상을 설정하고 있으며, 인재상에 도달할 수 있도록 학생학습성과 관리 체계를 구축하여 운영하고 있다.",b0f94fc080,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",1,1
c3__1_1__report__item:1,source_verified,3,1.1,교육목표 및 인재상,report,보고서 주요 내용,2026-04-17,cycle_3[0].items[0].content,item:1,items,1,,,report_item,item,교육이념-교육목적-교육목표의 체계(도),79dc513edd,"편람원본json/[검증완료]3주기, 4주기 편람 보고서 주요 내용 비교(20260417).json",1,1
c3__1_1__report__item:2,source_verified,3,1.1,교육목표 및 인재상,report,보고서 주요 내용,2026-04-17,cycle_3[0].items[1].content,item:2,items,2,,,report_item,item,교육목적-교육목표-인재상의 연계성,f3d92fc7ab,"편람원본json/[검증완료]3주기, 4주기 편람 보고서 주요 내용 비교(20260417).json",1,1
c3__1_1__report__item:3,source_verified,3,1.1,교육목표 및 인재상,report,보고서 주요 내용,2026-04-17,cycle_3[0].items[2].content,item:3,items,3,,,report_item,item,인재상에 부합하는 학생학습성과 관리 및 운영 체계,e3fb5b0cfb,"편람원본json/[검증완료]3주기, 4주기 편람 보고서 주요 내용 비교(20260417).json",1,1
c3__1_2__checkpoints__item:1,source_verified,3,1.2,발전계획,checkpoints,주요 점검사항,2026-04-21,cycle_3[1].items[0].content,item:1,items,1,,,check_item,item,발전계획(특성화계획 포함)의 수립 과정 및 내용은 합리적인가,670edc02d1,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_2__checkpoints__item:1.sub:001,source_verified,3,1.2,발전계획,checkpoints,주요 점검사항,2026-04-21,cycle_3[1].items[0].sub_items[0],item:1.sub:001,sub_items,1,1,c3__1_2__checkpoints__item:1,sub_item,sub_item,조직 구성,81bd6cef36,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_2__checkpoints__item:1.sub:002,source_verified,3,1.2,발전계획,checkpoints,주요 점검사항,2026-04-21,cycle_3[1].items[0].sub_items[1],item:1.sub:002,sub_items,1,2,c3__1_2__checkpoints__item:1,sub_item,sub_item,구성원 의견 수렴,2939e6d1b5,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_2__checkpoints__item:1.sub:003,source_verified,3,1.2,발전계획,checkpoints,주요 점검사항,2026-04-21,cycle_3[1].items[0].sub_items[2],item:1.sub:003,sub_items,1,3,c3__1_2__checkpoints__item:1,sub_item,sub_item,발전계획 내용,c94679b3b0,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_2__checkpoints__item:1.sub:004,source_verified,3,1.2,발전계획,checkpoints,주요 점검사항,2026-04-21,cycle_3[1].items[0].sub_items[3],item:1.sub:004,sub_items,1,4,c3__1_2__checkpoints__item:1,sub_item,sub_item,재정 소요 계획 및 재정 확보 계획,28bd13ac63,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_2__checkpoints__item:2,source_verified,3,1.2,발전계획,checkpoints,주요 점검사항,2026-04-21,cycle_3[1].items[1].content,item:2,items,2,,,check_item,item,발전계획(특성화계획 포함)의 추진 실적이 있는가,b5a7e7794b,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_2__checkpoints__item:2.sub:001,source_verified,3,1.2,발전계획,checkpoints,주요 점검사항,2026-04-21,cycle_3[1].items[1].sub_items[0],item:2.sub:001,sub_items,2,1,c3__1_2__checkpoints__item:2,sub_item,sub_item,사업 추진 여부,0324c8f3f3,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_2__checkpoints__item:2.sub:002,source_verified,3,1.2,발전계획,checkpoints,주요 점검사항,2026-04-21,cycle_3[1].items[1].sub_items[1],item:2.sub:002,sub_items,2,2,c3__1_2__checkpoints__item:2,sub_item,sub_item,사업 예산 반영,cd13dbd944,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_2__checkpoints__item:3,source_verified,3,1.2,발전계획,checkpoints,주요 점검사항,2026-04-21,cycle_3[1].items[2].content,item:3,items,3,,,check_item,item,발전계획에 대한 점검 및 환류가 체계적으로 이루어지고 있는가,478d322331,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_2__checkpoints__item:3.sub:001,source_verified,3,1.2,발전계획,checkpoints,주요 점검사항,2026-04-21,cycle_3[1].items[2].sub_items[0],item:3.sub:001,sub_items,3,1,c3__1_2__checkpoints__item:3,sub_item,sub_item,"평가주기, 평가 내용, 평가 방법 등",8bb7468627,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_2__checkpoints__item:3.sub:002,source_verified,3,1.2,발전계획,checkpoints,주요 점검사항,2026-04-21,cycle_3[1].items[2].sub_items[1],item:3.sub:002,sub_items,3,2,c3__1_2__checkpoints__item:3,sub_item,sub_item,평가결과 및 환류 실적,e8c0739b17,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",1,1
c3__1_2__evidence__정보공시:001,source_verified,3,1.2,발전계획,evidence,근거자료,2026-04-20,cycle_3[1].정보공시[0].content,정보공시:001,정보공시,1,,,evidence_item,item,11-가. 학교 발전계획 및 특성화계획,821f55df73,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",1,1
c3__1_2__evidence__제출자료_첨부:001,source_verified,3,1.2,발전계획,evidence,근거자료,2026-04-20,cycle_3[1].제출자료_첨부[0].content,제출자료_첨부:001,제출자료_첨부,1,,,evidence_item,item,대학 장단기 발전계획서(특성화계획서 포함),a8c7916156,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",1,1
c3__1_2__evidence__현지면담:001,source_verified,3,1.2,발전계획,evidence,근거자료,2026-04-20,cycle_3[1].현지면담[0].content,현지면담:001,현지면담,1,,,evidence_item,item,기획처장,6ba3a0a4b9,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",1,1
c3__1_2__evidence__현지면담:002,source_verified,3,1.2,발전계획,evidence,근거자료,2026-04-20,cycle_3[1].현지면담[1].content,현지면담:002,현지면담,2,,,evidence_item,item,발전계획 담당자,239e1ff176,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",1,1
c3__1_2__evidence__현지확인자료:001,source_verified,3,1.2,발전계획,evidence,근거자료,2026-04-20,cycle_3[1].현지확인자료[0].content,현지확인자료:001,현지확인자료,1,,,evidence_item,item,대학 장단기 발전계획 수립을 위한 구성원 의견 수렴 자료: 수립 당시,bddc3f5c9a,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",1,1
c3__1_2__evidence__현지확인자료:002,source_verified,3,1.2,발전계획,evidence,근거자료,2026-04-20,cycle_3[1].현지확인자료[1].content,현지확인자료:002,현지확인자료,2,,,evidence_item,item,발전계획서 및 추진 실적 자료: 최근 3년 자료,2d35a02cd0,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",1,1
c3__1_2__evidence__현지확인자료:003,source_verified,3,1.2,발전계획,evidence,근거자료,2026-04-20,cycle_3[1].현지확인자료[2].content,현지확인자료:003,현지확인자료,3,,,evidence_item,item,발전계획 평가결과와 반영 실적: 최근 3년 자료,3d1859f7be,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",1,1
c3__1_2__notes__item:1,source_verified,3,1.2,발전계획,notes,유의사항 및 관련 정책,2026-04-22,cycle_3[1].items[0].content,item:1,items,1,,,caution_policy_item,item,"평가 시점의 발전계획(특성화계획 포함) 실적을 제시해야 함. 다만 평가 자료 시점 내에 해당 계획이 변경된 경우에는 자료 시점에 해당되는 계획 대비 실적을 제시하고, 해당 계획서를 모두 제출해야 함",d49ace431d,"편람원본json/[검증완료]3주기, 4주기 편람 유의사항 및 관련 정책 비교(20260422).json",1,1
c3__1_2__notes__item:2,source_verified,3,1.2,발전계획,notes,유의사항 및 관련 정책,2026-04-22,cycle_3[1].items[1].content,item:2,items,2,,,caution_policy_item,item,대학의 국제화 관련 내용은 대학의 특성을 고려하여 평가함,887173a92e,"편람원본json/[검증완료]3주기, 4주기 편람 유의사항 및 관련 정책 비교(20260422).json",1,1
c3__1_2__notes__item:3,source_verified,3,1.2,발전계획,notes,유의사항 및 관련 정책,2026-04-22,cycle_3[1].items[2].content,item:3,items,3,,,caution_policy_item,item,"모든 대학은 발전계획(특성화계획 포함) 관련 자료를 제시하되, 외부 컨설팅을 받은 경우에는 외부 전문가 의견을 수용하여 자체적으로 수립한 발전계획(특성화계획 포함) 관련 자료를 제시해야 함",9366f39699,"편람원본json/[검증완료]3주기, 4주기 편람 유의사항 및 관련 정책 비교(20260422).json",1,1
c3__1_2__overview__content,source_verified,3,1.2,발전계획,overview,편람 개요,2026-04-17,cycle_3[1].content,content,content,,,,overview_content,criterion,"대학은 대학구성원의 요구분석 등에 근거하여 실현가능한 장단기 발전계획(특성화계획 포함)을 수립하고, 성과에 대한 평가를 통해 그 결과를 대학 운영에 반영하고 있다.",f4b72004c3,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",1,1
c3__1_2__report__item:1,source_verified,3,1.2,발전계획,report,보고서 주요 내용,2026-04-17,cycle_3[1].items[0].content,item:1,items,1,,,report_item,item,대학 장단기 발전계획(특성화계획 포함)의 수립과정 및 내용: 최근 3년 자료,1dc8d35e3f,"편람원본json/[검증완료]3주기, 4주기 편람 보고서 주요 내용 비교(20260417).json",1,1
c3__1_2__report__item:2,source_verified,3,1.2,발전계획,report,보고서 주요 내용,2026-04-17,cycle_3[1].items[1].content,item:2,items,2,,,report_item,item,대학 장단기 발전계획(특성화계획 포함)의 추진 실적: 최근 3년 자료,c2224256b5,"편람원본json/[검증완료]3주기, 4주기 편람 보고서 주요 내용 비교(20260417).json",1,1
c3__1_2__report__item:3,source_verified,3,1.2,발전계획,report,보고서 주요 내용,2026-04-17,cycle_3[1].items[2].content,item:3,items,3,,,report_item,item,대학 장단기 발전계획(특성화계획 포함)의 평가결과와 반영 실적: 최근 3년 자료,dbb7fcedfd,"편람원본json/[검증완료]3주기, 4주기 편람 보고서 주요 내용 비교(20260417).json",1,1
c3__1_3__checkpoints__item:1,source_verified,3,1.3,거버넌스,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[0].content,item:1,items,1,,,check_item,item,대학의 의사결정구조가 합리적인가,f5270608c6,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",2,1
c3__1_3__checkpoints__item:1.sub:001,source_verified,3,1.3,거버넌스,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[0].sub_items[0],item:1.sub:001,sub_items,1,1,c3__1_3__checkpoints__item:1,sub_item,sub_item,법령상 위원회 및 이사회의 법적 요건에 부합하는 위원회 구성 여부,abd632bb98,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",2,1
c3__1_3__checkpoints__item:1.sub:002,source_verified,3,1.3,거버넌스,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[0].sub_items[1],item:1.sub:002,sub_items,1,2,c3__1_3__checkpoints__item:1,sub_item,sub_item,법령상 위원회 및 이사회의 회의 운영 등과 관련된 투명성 확보 여부,b77724633c,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",2,1
c3__1_3__checkpoints__item:1.sub:003,source_verified,3,1.3,거버넌스,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[0].sub_items[2],item:1.sub:003,sub_items,1,3,c3__1_3__checkpoints__item:1,sub_item,sub_item,법령상 위원 및 이사회 운영의 적절성 여부,d1d079e46f,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",2,1
c3__1_3__checkpoints__item:1.sub:004,source_verified,3,1.3,거버넌스,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[0].sub_items[3],item:1.sub:004,sub_items,1,4,c3__1_3__checkpoints__item:1,sub_item,sub_item,대학의 주요 현안과제(예: 구조조정 등) 해결을 위한 의사결정구조의 운영,d36aaf7fc1,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",2,1
c3__1_3__checkpoints__item:2,source_verified,3,1.3,거버넌스,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[1].content,item:2,items,2,,,check_item,item,대학 구성원 참여와 소통을 위한 체계가 합리적이고 추진 실적이 있는가,f411efb8dd,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",2,1
c3__1_3__checkpoints__item:2.sub:001,source_verified,3,1.3,거버넌스,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[1].sub_items[0],item:2.sub:001,sub_items,2,1,c3__1_3__checkpoints__item:2,sub_item,sub_item,대학 구성원 참여와 소통 체계,a33ea817f6,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",2,1
c3__1_3__checkpoints__item:2.sub:002,source_verified,3,1.3,거버넌스,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[1].sub_items[1],item:2.sub:002,sub_items,2,2,c3__1_3__checkpoints__item:2,sub_item,sub_item,대학 구성원 참여와 소통 추진 실적,8b9020b950,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",2,1
c3__1_3__checkpoints__item:3,source_verified,3,1.3,거버넌스,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[2].content,item:3,items,3,,,check_item,item,대학 구성원 참여와 소통 관련 주기적인 점검 및 환류 체계가 있는가,a6e67722a1,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",2,1
c3__1_3__checkpoints__item:3.sub:001,source_verified,3,1.3,거버넌스,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[2].sub_items[0],item:3.sub:001,sub_items,3,1,c3__1_3__checkpoints__item:3,sub_item,sub_item,대학 구성원 참여와 소통 평가 및 환류 실적,a134e5e110,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",2,1
c3__1_3__evidence__현지면담:001,source_verified,3,1.3,거버넌스,evidence,근거자료,2026-04-20,cycle_3[0].현지면담[0].content,현지면담:001,현지면담,1,,,evidence_item,item,기획처장,6ba3a0a4b9,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2,1
c3__1_3__evidence__현지면담:002,source_verified,3,1.3,거버넌스,evidence,근거자료,2026-04-20,cycle_3[0].현지면담[1].content,현지면담:002,현지면담,2,,,evidence_item,item,"대학 의사결정 참여자- (교수 대표, 직원 대표, 학생 대표)",646e397e03,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2,1
c3__1_3__evidence__현지확인자료:001,source_verified,3,1.3,거버넌스,evidence,근거자료,2026-04-20,cycle_3[0].현지확인자료[0].content,현지확인자료:001,현지확인자료,1,,,evidence_item,item,대학의 의사결정구조 구축 및 운영에 대한 자료: 최근 3년 자료,e690445f03,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2,1
c3__1_3__evidence__현지확인자료:002,source_verified,3,1.3,거버넌스,evidence,근거자료,2026-04-20,cycle_3[0].현지확인자료[1].content,현지확인자료:002,현지확인자료,2,,,evidence_item,item,대학 구성원 참여 및 소통 체계 및 추진 실적 자료: 최근 3년 자료,2389cb2388,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2,1
c3__1_3__evidence__현지확인자료:003,source_verified,3,1.3,거버넌스,evidence,근거자료,2026-04-20,cycle_3[0].현지확인자료[2].content,현지확인자료:003,현지확인자료,3,,,evidence_item,item,대학 구성원 참여 및 소통 개선 실적 자료: 최근 3년 자료,6984d20eed,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2,1
c3__1_3__notes__item:1,source_verified,3,1.3,거버넌스,notes,유의사항 및 관련 정책,2026-04-22,cycle_3[0].items[0].content,item:1,items,1,,,caution_policy_item,item,법령상 위원회뿐 아니라 그 밖의 학칙상 운영되는 위원회도 기술 가능함,42e15b048f,"편람원본json/[검증완료]3주기, 4주기 편람 유의사항 및 관련 정책 비교(20260422).json",2,1
c3__1_3__overview__content,source_verified,3,1.3,거버넌스,overview,편람 개요,2026-04-17,cycle_3[0].content,content,content,,,,overview_content,criterion,대학은 합리적으로 대학 의사결정구조를 구축하고 운영하여 경쟁력을 강화하고 있다. 또한 대학 운영에 대학 구성원의 참여와 소통이 원활하게 이루어지고 있다.,ecafeece88,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2,1
c3__1_3__report__item:1,source_verified,3,1.3,거버넌스,report,보고서 주요 내용,2026-04-17,cycle_3[0].items[0].content,item:1,items,1,,,report_item,item,대학 의사결정구조 구축 및 운영 현황: 최근 3년 자료,1304b2043f,"편람원본json/[검증완료]3주기, 4주기 편람 보고서 주요 내용 비교(20260417).json",2,1
c3__1_3__report__item:2,source_verified,3,1.3,거버넌스,report,보고서 주요 내용,2026-04-17,cycle_3[0].items[1].content,item:2,items,2,,,report_item,item,대학 구성원 참여와 소통을 위한 체계 및 추진 실적: 최근 3년 자료,a2a4056d9c,"편람원본json/[검증완료]3주기, 4주기 편람 보고서 주요 내용 비교(20260417).json",2,1
c3__1_3__report__item:3,source_verified,3,1.3,거버넌스,report,보고서 주요 내용,2026-04-17,cycle_3[0].items[2].content,item:3,items,3,,,report_item,item,대학 구성원 참여와 소통에 대한 개선 실적: 최근 3년 자료,409918e067,"편람원본json/[검증완료]3주기, 4주기 편람 보고서 주요 내용 비교(20260417).json",2,1
c3__1_4__checkpoints__item:1,source_verified,3,1.4,재정 확보,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[0].content,item:1,items,1,,,check_item,item,"세입 중 등록금 비율, 세입 중 기부금비율, 세입 중 법인전입금 비율(사립대)의 최근 3년간 평균이 기준값을 충족하는가",2edd46e528,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",3,1
c3__1_4__checkpoints__item:2,source_verified,3,1.4,재정 확보,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[1].content,item:2,items,2,,,check_item,item,최근 3년간 재원별 확보 추이가 적절한가,397238c261,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",3,1
c3__1_4__checkpoints__item:3,source_verified,3,1.4,재정 확보,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[2].content,item:3,items,3,,,check_item,item,다양한 재원 확보를 위해 노력하고 있는가,33ad7ed1ba,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",3,1
c3__1_4__checkpoints__item:4,source_verified,3,1.4,재정 확보,checkpoints,주요 점검사항,2026-04-21,cycle_3[0].items[3].content,item:4,items,4,,,check_item,item,각 재원들을 지속적으로 확보할 수 있는가,a4a6be7f41,"편람원본json/[검증완료]3주기, 4주기 편람 주요 점검사항 비교(20260421).json",3,1
c3__1_4__evidence__정보공시:001,source_verified,3,1.4,재정 확보,evidence,근거자료,2026-04-20,cycle_3[0].정보공시[0].content,정보공시:001,정보공시,1,,,evidence_item,item,8. 예・결산 내역 등 학교 및 법인의 회계에 관한 사항,7a87daf94b,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",3,1
c3__1_4__evidence__현지면담:001,source_verified,3,1.4,재정 확보,evidence,근거자료,2026-04-20,cycle_3[0].현지면담[0].content,현지면담:001,현지면담,1,,,evidence_item,item,기획처장,6ba3a0a4b9,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",3,1
c3__1_4__evidence__현지확인자료:001,source_verified,3,1.4,재정 확보,evidence,근거자료,2026-04-20,cycle_3[0].현지확인자료[0].content,현지확인자료:001,현지확인자료,1,,,evidence_item,item,중장기 재정 운영 계획서,7de6dddae2,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",3,1
