action_id,benchmark_required,candidate_only_warning,change_id,change_type,cycle4_criterion,cycle4_title,department_candidate,evidence_focus,notice_required,preparation_task,priority,risk_level,section_type,source_id_3,source_id_4,verification_status,action_type,primary_department,support_departments,data_period,metric_or_threshold,evidence_link,confirmed_by,confirmed_at,source_support_level,official_confirmation_needed
act_00016,false,Department/risk values are operational candidates for review.,chg_00018,변경,3.1,교원 확보 및 구성,"교무처, 교원인사 담당부서",증빙,true,편람 개요 항목 검토 및 준비: 대학은 교원 임용정책과 규정에 따라 합리적인 절차를 통하여 일정 규모 이상의 교원을 확보하여 관리하고 있다.,2,medium,overview,c3__3_1__overview__content,c4__3_1__overview__content,candidate,evidence_preparation_update,교무처,교원인사 담당부서,,,c4__3_1__overview__content,,,source_json_comparative_candidate,true
act_00017,false,Department/risk values are operational candidates for review.,chg_00021,변경,3.4,교원의 연구활동 및 성과,"연구처, 교무처",관련 규정·운영자료·실적자료 확인,true,"편람 개요 항목 검토 및 준비: 대학은 교원의 연구활동을 적절히 지원하고 있으며, 연구성과를 제고하고 연구윤리를 확립하여 학문발전에 기여하고 있다.",1,high,overview,c3__5_3__overview__content,c4__3_4__overview__content,needs_review,content_change_review,연구처,교무처,,,c4__3_4__overview__content,,,source_json_comparative_candidate,true
act_00018,false,Department/risk values are operational candidates for review.,chg_00022,삭제/이동후보,3.4,교원의 연구활동 및 성과,"연구처, 교무처",관련 규정·운영자료·실적자료 확인,true,편람 개요 항목 검토 및 준비: 대학은 교원의 교육과 연구활동을 적절히 지원하고 있다.,1,high,overview,c3__3_4__overview__content,,needs_review,deletion_or_move_review,연구처,교무처,,,c3__3_4__overview__content,,,source_json_single_side_review,true
act_00019,true,Department/risk values are operational candidates for review.,chg_00026,신설후보,4.2,학생 심리상담 및 권익 보호,"학생상담센터, 인권센터, 장애학생지원센터",증빙,true,"편람 개요 항목 검토 및 준비: 대학은 학생이 대학 생활에 적응할 수 있도록 예산과 전문 인력을 확보한 학생상담 체계를 구축하고 심리상담을 진행하고 있으며, 개선을 위하여 지속적으로 노력하고 있다. 그리고 대학은 학생의 권익을 보호하기 위한 규정과 체계를 구축하여 운영하고 있다. 또한 대학의 배려가 필요한 소수집단학생 지원을 위한 규정과 체계를 갖추고 다양한 시설과 지원 프로그램을 마련하여 효율적으로 운영하고 있다.",1,high,overview,c3__4_3__overview__content,c4__4_2__overview__content,needs_review,new_requirement_review,학생상담센터,인권센터;장애학생지원센터,,,c4__4_2__overview__content,,,source_json_comparative_candidate,true
act_00020,true,Department/risk values are operational candidates for review.,chg_00027,삭제/이동후보,4.2,학생 심리상담 및 권익 보호,"학생상담센터, 인권센터, 장애학생지원센터",관련 규정·운영자료·실적자료 확인,true,"편람 개요 항목 검토 및 준비: 대학은 학생이 대학생활에 적응할 수 있도록 예산과 전문인력을 확보한 학생상담 체계를 구축하고 심리 및 진로에 대한 상담을 진행하고 있으며, 개선을 위하여 지속적으로 노력하고 있다.",1,high,overview,c3__4_2__overview__content,,needs_review,deletion_or_move_review,학생상담센터,인권센터;장애학생지원센터,,,c3__4_2__overview__content,,,source_json_single_side_review,true
act_00021,true,Department/risk values are operational candidates for review.,chg_00028,유지,4.3,진로 및 취·창업 지원,진로·취창업지원센터,관련 규정·운영자료·실적자료 확인,true,편람 개요 항목 검토 및 준비: 대학은 학생들의 진로와 취·창업을 위한 지원 체계를 구축하고 예산과 전문 인력을 확보하여 운영하고 있으며 지속적인 개선을 위한 노력을 하고 있다.,1,high,overview,c3__5_4__overview__content,c4__4_3__overview__content,needs_review,monitoring_review,진로·취창업지원센터,,,,c4__4_3__overview__content,,,source_json_comparative_candidate,true
act_00022,true,Department/risk values are operational candidates for review.,chg_00029,삭제/이동후보,4.3,진로 및 취·창업 지원,진로·취창업지원센터,관련 규정·운영자료·실적자료 확인,true,"편람 개요 항목 검토 및 준비: 대학은 학생이 대학생활에 적응할 수 있도록 예산과 전문인력을 확보한 학생상담 체계를 구축하고 심리 및 진로에 대한 상담을 진행하고 있으며, 개선을 위하여 지속적으로 노력하고 있다.",1,high,overview,c3__4_2__overview__content,,needs_review,deletion_or_move_review,진로·취창업지원센터,,,,c3__4_2__overview__content,,,source_json_single_side_review,true
act_00023,false,Department/risk values are operational candidates for review.,chg_00036,신설후보,1.1,교육목표 및 발전계획,"기획처, 교무처",증빙,true,근거자료 항목 검토 및 준비: 대학 중장기 발전계획서,1,high,evidence,c3__1_2__evidence__제출자료_첨부:001,c4__1_1__evidence__제출자료_첨부:002,needs_review,new_requirement_review,기획처,교무처,,,c4__1_1__evidence__제출자료_첨부:002,,,source_json_comparative_candidate,true
act_00024,false,Department/risk values are operational candidates for review.,chg_00037,변경,1.1,교육목표 및 발전계획,"기획처, 교무처",증빙,true,근거자료 항목 검토 및 준비: 대학 중장기 발전계획 수립을 위한 구성원 의견 수렴 자료: 현재 발전계획 수립 당시,2,medium,evidence,c3__1_2__evidence__현지확인자료:001,c4__1_1__evidence__현지확인자료:001,candidate,evidence_preparation_update,기획처,교무처,,,c4__1_1__evidence__현지확인자료:001,,,source_json_comparative_candidate,true
act_00025,false,Department/risk values are operational candidates for review.,chg_00042,이동후보,1.1,교육목표 및 발전계획,"기획처, 교무처",증빙,true,근거자료 항목 검토 및 준비: 학생학습성과 관리 및 운영 체계 관련 자료,1,high,evidence,c3__1_1__evidence__현지확인자료:001,,needs_review,move_review,기획처,교무처,,,c3__1_1__evidence__현지확인자료:001,,,source_json_single_side_review,true
act_00026,false,Department/risk values are operational candidates for review.,chg_00043,이동후보,1.1,교육목표 및 발전계획,"기획처, 교무처",실적기간;증빙,true,근거자료 항목 검토 및 준비: 발전계획 평가결과와 반영 실적: 최근 3년 자료,1,high,evidence,c3__1_2__evidence__현지확인자료:003,,needs_review,move_review,기획처,교무처,최근 3년;3년 자료,3년,c3__1_2__evidence__현지확인자료:003,,,source_json_single_side_review,true
act_00027,false,Department/risk values are operational candidates for review.,chg_00044,삭제/이동후보,1.1,교육목표 및 발전계획,"기획처, 교무처",면담;증빙,true,근거자료 항목 검토 및 준비: 기획처장,1,high,evidence,c3__1_2__evidence__현지면담:001,,needs_review,deletion_or_move_review,기획처,교무처,,,c3__1_2__evidence__현지면담:001,,,source_json_single_side_review,true
act_00028,false,Department/risk values are operational candidates for review.,chg_00046,신설후보,1.2,거버넌스와 감사,"기획처, 감사부서",증빙,true,근거자료 항목 검토 및 준비: 공익제보 및 공익제보자 보호 제도 관련 규정,1,high,evidence,,c4__1_2__evidence__제출자료_관련규정:002,needs_review,new_requirement_review,기획처,감사부서,,,c4__1_2__evidence__제출자료_관련규정:002,,,source_json_single_side_review,true
act_00029,false,Department/risk values are operational candidates for review.,chg_00048,변경,1.2,거버넌스와 감사,"기획처, 감사부서",실적기간;증빙,true,근거자료 항목 검토 및 준비: 대학 구성원 참여 및 소통 체계 자료: 최근 3년 자료,2,medium,evidence,c3__1_3__evidence__현지확인자료:002,c4__1_2__evidence__현지확인자료:002,candidate,metric_or_standard_update,기획처,감사부서,최근 3년;3년 자료,3년,c4__1_2__evidence__현지확인자료:002,,,source_json_comparative_candidate,true
act_00030,false,Department/risk values are operational candidates for review.,chg_00049,변경,1.2,거버넌스와 감사,"기획처, 감사부서",실적기간;증빙,true,근거자료 항목 검토 및 준비: 대학 구성원 참여 및 소통 추진 실적 과 환류 실적 자료: 최근 3년 자료,2,medium,evidence,c3__1_3__evidence__현지확인자료:003,c4__1_2__evidence__현지확인자료:003,candidate,metric_or_standard_update,기획처,감사부서,최근 3년;3년 자료,3년,c4__1_2__evidence__현지확인자료:003,,,source_json_comparative_candidate,true
act_00031,false,Department/risk values are operational candidates for review.,chg_00050,변경,1.2,거버넌스와 감사,"기획처, 감사부서",실적기간;증빙,true,"근거자료 항목 검토 및 준비: 내·외부(교육부, 감사원 등) 감사보고서: 최근 3년 자료",2,medium,evidence,c3__1_6__evidence__현지확인자료:001,c4__1_2__evidence__현지확인자료:004,candidate,metric_or_standard_update,기획처,감사부서,최근 3년;3년 자료,3년,c4__1_2__evidence__현지확인자료:004,,,source_json_comparative_candidate,true
act_00032,false,Department/risk values are operational candidates for review.,chg_00053,변경,1.2,거버넌스와 감사,"기획처, 감사부서",실적기간;증빙,true,근거자료 항목 검토 및 준비: 공익제보 절차 및 공익제보자 보호 제도 구축·운영 자료: 최근 3년 자료,2,medium,evidence,c3__1_6__evidence__현지확인자료:004,c4__1_2__evidence__현지확인자료:007,candidate,metric_or_standard_update,기획처,감사부서,최근 3년;3년 자료,3년,c4__1_2__evidence__현지확인자료:007,,,source_json_comparative_candidate,true
act_00033,false,Department/risk values are operational candidates for review.,chg_00065,삭제/이동후보,1.3,재정 확보 및 집행,"기획처, 재무회계팀",증빙,true,근거자료 항목 검토 및 준비: 8. 예・결산 내역 등 학교 및 법인의 회계에 관한 사항,1,high,evidence,c3__1_5__evidence__정보공시:001,,needs_review,deletion_or_move_review,기획처,재무회계팀,,,c3__1_5__evidence__정보공시:001,,,source_json_single_side_review,true
act_00034,false,Department/risk values are operational candidates for review.,chg_00066,삭제/이동후보,1.3,재정 확보 및 집행,"기획처, 재무회계팀",증빙,true,근거자료 항목 검토 및 준비: 중장기 재정 운영 계획서,1,high,evidence,c3__1_5__evidence__현지확인자료:001,,needs_review,deletion_or_move_review,기획처,재무회계팀,,,c3__1_5__evidence__현지확인자료:001,,,source_json_single_side_review,true
act_00035,false,Department/risk values are operational candidates for review.,chg_00067,삭제/이동후보,1.3,재정 확보 및 집행,"기획처, 재무회계팀",실적기간;증빙,true,근거자료 항목 검토 및 준비: 예・결산보고서: 최근 3년 자료,1,high,evidence,c3__1_5__evidence__현지확인자료:002,,needs_review,deletion_or_move_review,기획처,재무회계팀,최근 3년;3년 자료,3년,c3__1_5__evidence__현지확인자료:002,,,source_json_single_side_review,true
act_00036,false,Department/risk values are operational candidates for review.,chg_00068,삭제/이동후보,1.3,재정 확보 및 집행,"기획처, 재무회계팀",면담;증빙,true,근거자료 항목 검토 및 준비: 기획처장,1,high,evidence,c3__1_5__evidence__현지면담:001,,needs_review,deletion_or_move_review,기획처,재무회계팀,,,c3__1_5__evidence__현지면담:001,,,source_json_single_side_review,true
act_00037,false,Department/risk values are operational candidates for review.,chg_00069,신설후보,1.4,성과관리체계 구축 및 운영,"기획처, 성과관리 담당부서",증빙,true,근거자료 항목 검토 및 준비: 11-가. 학교 발전계획 및 특성화계획,1,high,evidence,,c4__1_4__evidence__정보공시:001,needs_review,new_requirement_review,기획처,성과관리 담당부서,,,c4__1_4__evidence__정보공시:001,,,source_json_single_side_review,true
act_00038,false,Department/risk values are operational candidates for review.,chg_00071,신설후보,1.4,성과관리체계 구축 및 운영,"기획처, 성과관리 담당부서",증빙,true,근거자료 항목 검토 및 준비: 대학 성과관리 관련 규정,1,high,evidence,c3__5_1__evidence__제출자료_관련규정:001,c4__1_4__evidence__제출자료_관련규정:001,needs_review,new_requirement_review,기획처,성과관리 담당부서,,,c4__1_4__evidence__제출자료_관련규정:001,,,source_json_comparative_candidate,true
act_00039,false,Department/risk values are operational candidates for review.,chg_00072,신설후보,1.4,성과관리체계 구축 및 운영,"기획처, 성과관리 담당부서",증빙,true,근거자료 항목 검토 및 준비: 대학 자체평가 관련 규정,1,high,evidence,,c4__1_4__evidence__제출자료_관련규정:002,needs_review,new_requirement_review,기획처,성과관리 담당부서,,,c4__1_4__evidence__제출자료_관련규정:002,,,source_json_single_side_review,true
act_00040,false,Department/risk values are operational candidates for review.,chg_00073,신설후보,1.4,성과관리체계 구축 및 운영,"기획처, 성과관리 담당부서",증빙,true,근거자료 항목 검토 및 준비: 대학 중장기 발전계획서,1,high,evidence,,c4__1_4__evidence__제출자료_첨부:001,needs_review,new_requirement_review,기획처,성과관리 담당부서,,,c4__1_4__evidence__제출자료_첨부:001,,,source_json_single_side_review,true
act_00041,false,Department/risk values are operational candidates for review.,chg_00075,신설후보,1.4,성과관리체계 구축 및 운영,"기획처, 성과관리 담당부서",실적기간;증빙,true,근거자료 항목 검토 및 준비: 대학 중장기 발전계획 성과평가 결과와 환류 실적: 최근 3년 자료,1,high,evidence,c3__5_1__evidence__현지확인자료:001,c4__1_4__evidence__현지확인자료:001,needs_review,new_requirement_review,기획처,성과관리 담당부서,최근 3년;3년 자료,3년,c4__1_4__evidence__현지확인자료:001,,,source_json_comparative_candidate,true
act_00042,false,Department/risk values are operational candidates for review.,chg_00076,신설후보,1.4,성과관리체계 구축 및 운영,"기획처, 성과관리 담당부서",실적기간;증빙,true,근거자료 항목 검토 및 준비: 대학 자체평가 결과와 반영 자료: 최근 3년 자료,1,high,evidence,,c4__1_4__evidence__현지확인자료:002,needs_review,new_requirement_review,기획처,성과관리 담당부서,최근 3년;3년 자료,3년,c4__1_4__evidence__현지확인자료:002,,,source_json_single_side_review,true
act_00043,false,Department/risk values are operational candidates for review.,chg_00077,신설후보,1.4,성과관리체계 구축 및 운영,"기획처, 성과관리 담당부서",면담;증빙,true,근거자료 항목 검토 및 준비: 기획처장,1,high,evidence,,c4__1_4__evidence__현지면담:001,needs_review,new_requirement_review,기획처,성과관리 담당부서,,,c4__1_4__evidence__현지면담:001,,,source_json_single_side_review,true
act_00044,false,Department/risk values are operational candidates for review.,chg_00078,신설후보,1.4,성과관리체계 구축 및 운영,"기획처, 성과관리 담당부서",면담;증빙,true,"근거자료 항목 검토 및 준비: 대학 발전계획 담당자, 대학 자체평가 담당자",1,high,evidence,,c4__1_4__evidence__현지면담:002,needs_review,new_requirement_review,기획처,성과관리 담당부서,,,c4__1_4__evidence__현지면담:002,,,source_json_single_side_review,true
act_00045,false,Department/risk values are operational candidates for review.,chg_00079,이동후보,1.4,성과관리체계 구축 및 운영,"기획처, 성과관리 담당부서",실적기간;증빙,true,"근거자료 항목 검토 및 준비: 교육만족도 조사 관련 자료(설문지, 분석 결과, 결과 반영 등): 최근 3년 자료",1,high,evidence,c3__5_1__evidence__현지확인자료:002,,needs_review,move_review,기획처,성과관리 담당부서,최근 3년;3년 자료,3년,c3__5_1__evidence__현지확인자료:002,,,source_json_single_side_review,true
act_00046,false,Department/risk values are operational candidates for review.,chg_00080,삭제/이동후보,1.4,성과관리체계 구축 및 운영,"기획처, 성과관리 담당부서",면담;증빙,true,"근거자료 항목 검토 및 준비: 기획처장, 교육만족도조사 담당자",1,high,evidence,c3__5_1__evidence__현지면담:001,,needs_review,deletion_or_move_review,기획처,성과관리 담당부서,,,c3__5_1__evidence__현지면담:001,,,source_json_single_side_review,true
act_00047,false,Department/risk values are operational candidates for review.,chg_00081,이동후보,1.4,성과관리체계 구축 및 운영,"기획처, 성과관리 담당부서",기준값/정량;면담;증빙,true,"근거자료 항목 검토 및 준비: 학생 1 인원: 10명 내외 2 표집: 계열별, 학년별, 성별에 따라 고르게 분포",1,high,evidence,c3__5_1__evidence__현지면담:002,,needs_review,move_review,기획처,성과관리 담당부서,,10명,c3__5_1__evidence__현지면담:002,,,source_json_single_side_review,true
act_00048,false,Department/risk values are operational candidates for review.,chg_00082,변경,1.5,교육성과,"기획처, 교무처, 교육혁신원, 취·창업지원부서",증빙,true,근거자료 항목 검토 및 준비: 4-라. 학생 충원 현황,1,high,evidence,c3__5_2__evidence__정보공시:002,c4__1_5__evidence__정보공시:001,needs_review,evidence_preparation_update,기획처,교무처;교육혁신원;취·창업지원부서,,,c4__1_5__evidence__정보공시:001,,,source_json_comparative_candidate,true
act_00049,false,Department/risk values are operational candidates for review.,chg_00083,유지,1.5,교육성과,"기획처, 교무처, 교육혁신원, 취·창업지원부서",증빙,true,근거자료 항목 검토 및 준비: 5-다. 졸업생의 취업 현황,1,high,evidence,c3__5_4__evidence__정보공시:001,c4__1_5__evidence__정보공시:002,needs_review,evidence_preparation_update,기획처,교무처;교육혁신원;취·창업지원부서,,,c4__1_5__evidence__정보공시:002,,,source_json_comparative_candidate,true
act_00050,false,Department/risk values are operational candidates for review.,chg_00084,신설후보,1.5,교육성과,"기획처, 교무처, 교육혁신원, 취·창업지원부서",증빙,true,근거자료 항목 검토 및 준비: 교육만족도 조사 관련 규정,1,high,evidence,,c4__1_5__evidence__제출자료_관련규정:001,needs_review,new_requirement_review,기획처,교무처;교육혁신원;취·창업지원부서,,,c4__1_5__evidence__제출자료_관련규정:001,,,source_json_single_side_review,true
act_00051,false,Department/risk values are operational candidates for review.,chg_00085,신설후보,1.5,교육성과,"기획처, 교무처, 교육혁신원, 취·창업지원부서",실적기간;증빙,true,근거자료 항목 검토 및 준비: 학생학습성과 관리 및 운영 체계 관련 자료: 최근 3년 자료,1,high,evidence,,c4__1_5__evidence__현지확인자료:001,needs_review,new_requirement_review,기획처,교무처;교육혁신원;취·창업지원부서,최근 3년;3년 자료,3년,c4__1_5__evidence__현지확인자료:001,,,source_json_single_side_review,true
act_00052,false,Department/risk values are operational candidates for review.,chg_00086,신설후보,1.5,교육성과,"기획처, 교무처, 교육혁신원, 취·창업지원부서",실적기간;증빙,true,"근거자료 항목 검토 및 준비: 교육 만족도 조사 관련 자료(설문지, 분석 결과, 환류 실적 등): 최근 3년 자료",1,high,evidence,,c4__1_5__evidence__현지확인자료:002,needs_review,new_requirement_review,기획처,교무처;교육혁신원;취·창업지원부서,최근 3년;3년 자료,3년,c4__1_5__evidence__현지확인자료:002,,,source_json_single_side_review,true
act_00053,false,Department/risk values are operational candidates for review.,chg_00087,신설후보,1.5,교육성과,"기획처, 교무처, 교육혁신원, 취·창업지원부서",면담;증빙,true,"근거자료 항목 검토 및 준비: 기획처장, 교무처장, 교육혁신원장, 취·창업지원처(센터)장",1,high,evidence,,c4__1_5__evidence__현지면담:001,needs_review,new_requirement_review,기획처,교무처;교육혁신원;취·창업지원부서,,,c4__1_5__evidence__현지면담:001,,,source_json_single_side_review,true
act_00054,false,Department/risk values are operational candidates for review.,chg_00088,신설후보,1.5,교육성과,"기획처, 교무처, 교육혁신원, 취·창업지원부서",면담;증빙,true,"근거자료 항목 검토 및 준비: 취·창업지원 관련 업무 담당자, 학생역량 담당자, 교육 만족도 조사 담당자",1,high,evidence,,c4__1_5__evidence__현지면담:002,needs_review,new_requirement_review,기획처,교무처;교육혁신원;취·창업지원부서,,,c4__1_5__evidence__현지면담:002,,,source_json_single_side_review,true
