candidate_note_3,candidate_note_4,candidate_only_warning,change_categories,change_id,change_type,cycle3_criterion,cycle3_title,cycle4_criterion,cycle4_title,field_name_4,item_path_4,manual_review_required,section_label,section_type,similarity,source_id_3,source_id_4,source_text_3,source_text_4,verification_status,global_match_status,global_candidate_count,review_reason,human_review_status,official_confirmation_needed
,,Unmatched 3-cycle item requires human deletion/move review.,,chg_00011,삭제/이동후보,5.6,지역사회 연계·협력,1.6,사회공헌 및 지역사회 연계·협력,,,true,편람 개요,overview,,c3__5_6__overview__content,,대학은 지역대학 및 지역사회와 긴밀히 교류하고 인적·물적자원을 공유하기 위한 연계·협력 체계를 갖추고 있다.,,needs_review,weak_candidate,1,source_only_delete_or_move_review;needs_review_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,범위확장,chg_00012,변경,2.1,교육과정 체계,2.1,교육과정 체계,content,content,false,편람 개요,overview,0.960,c3__2_1__overview__content,c4__2_1__overview__content,"대학은 교육목표와 인재상에 기초하여 합리적인 교육과정(비교과과정 포함) 체계에 따라 교양 및 전공교육과정을 균형있게 편성·운영하고 있으며, 학생 요구 및 변화하는 사회적·학문적 요구를 반영하여 교육과정을 개선하고 있다.","대학은 교육목표와 인재상에 기초하여 합리적인 교육과정 체계에 따라 교양 및 전공교육과정을 균형있게 편성·운영하고 있으며, 학생 요구 및 변화하는 사회적·학문적 요구를 반영하여 교육과정을 개선하고 있다.",candidate,not_applicable,0,candidate_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,범위확장,chg_00013,변경,2.2,교양교육과정,2.2,교양교육과정,content,content,false,편람 개요,overview,0.929,c3__2_2__overview__content,c4__2_2__overview__content,대학은 교육목표와 인재상을 실현하고 학생의 선택권을 보장할 수 있는 교양교육과정(비교과과정 포함)을 편성하여 운영하고 있다.,대학은 교육목표와 인재상을 실현하고 학생의 선택권을 보장할 수 있는 교양교육과정을 편성하여 운영하고 있다.,candidate,not_applicable,0,candidate_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,범위확장,chg_00014,변경,2.3,전공교육과정,2.3,전공교육과정,content,content,false,편람 개요,overview,0.945,c3__2_3__overview__content,c4__2_3__overview__content,대학은 전공의 교육목표와 인재상을 기초로 전공 교육과정(비교과과정 포함)을 체계적으로 편성하여 운영하고 학생의 진로에 따라 이수가 가능하도록 지원하고 있다.,대학은 전공의 교육목표와 인재상을 기초로 전공교육과정을 체계적으로 편성하여 운영하고 학생의 진로에 따라 이수가 가능하도록 지원하고 있다.,candidate,not_applicable,0,candidate_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00015,유지,2.4,학사관리,2.4,학사관리,content,content,false,편람 개요,overview,1.000,c3__2_4__overview__content,c4__2_4__overview__content,"대학은 학사관리에 대한 제반 규정을 갖추어 학사를 원활하게 운영하고, 타당하고 신뢰할 수 있는 학습평가 지원 체계를 운영하고 있다.","대학은 학사관리에 대한 제반 규정을 갖추어 학사를 원활하게 운영하고, 타당하고 신뢰할 수 있는 학습평가 지원 체계를 운영하고 있다.",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,,chg_00016,유지,2.5,수업,2.5,수업,content,content,true,편람 개요,overview,0.985,c3__2_5__overview__content,c4__2_5__overview__content,대학은 교수가 적정 시수 범위에서 수업을 담당하도록 하고 수업을 지원하는 정보체제를 운영하며 수업에 대한 평가를 실시하여 수업의 질을 지속적으로 향상하고 있다.,대학은 교수가 적정 시수 범위에서 수업을 담당하도록 하고 수업을 지원하는 정보체계를 운영하며 수업에 대한 평가를 실시하여 수업의 질을 지속적으로 향상하고 있다.,needs_review,not_applicable,0,needs_review_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,,chg_00017,유지,2.6,교수-학습 지원,2.6,교수-학습 지원,content,content,false,편람 개요,overview,1.000,c3__2_6__overview__content,c4__2_6__overview__content,"대학은 교수-학습 지원을 위한 전담 조직을 갖추고, 수업의 질 향상을 위해 다양한 프로그램을 지속적으로 제공하고 있다.","대학은 교수-학습 지원을 위한 전담 조직을 갖추고, 수업의 질 향상을 위해 다양한 프로그램을 지속적으로 제공하고 있다.",confirmed,not_applicable,0,no_manual_review_trigger,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00018,변경,3.1,교원 확보,3.1,교원 확보 및 구성,content,content,false,편람 개요,overview,0.916,c3__3_1__overview__content,c4__3_1__overview__content,대학은 규정에 따라 합리적인 절차를 통하여 일정 규모 이상의 교원을 확보하여 관리하고 있다.,대학은 교원 임용정책과 규정에 따라 합리적인 절차를 통하여 일정 규모 이상의 교원을 확보하여 관리하고 있다.,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,,chg_00019,유지,3.2,교원 인사 및 업적평가,3.2,교원 인사 및 업적평가,content,content,false,편람 개요,overview,1.000,c3__3_2__overview__content,c4__3_2__overview__content,대학은 합리적인 절차에 의해 교원의 임용 및 승진을 위한 인사제도 및 업적평가 제도를 운영하고 있다.,대학은 합리적인 절차에 의해 교원의 임용 및 승진을 위한 인사제도 및 업적평가 제도를 운영하고 있다.,confirmed,not_applicable,0,no_manual_review_trigger,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,,chg_00020,유지,3.3,교원 처우 및 복지,3.3,교원 처우 및 복지,content,content,false,편람 개요,overview,1.000,c3__3_3__overview__content,c4__3_3__overview__content,대학은 교원에게 적정 수준의 처우와 편의를 제공하고 있다.,대학은 교원에게 적정 수준의 처우와 편의를 제공하고 있다.,confirmed,not_applicable,0,no_manual_review_trigger,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,,chg_00021,변경,5.3,연구성과,3.4,교원의 연구활동 및 성과,content,content,true,편람 개요,overview,0.780,c3__5_3__overview__content,c4__3_4__overview__content,대학은 연구성과를 제고하고 연구윤리를 확립하여 학문발전에 기여하고 있다.,"대학은 교원의 연구활동을 적절히 지원하고 있으며, 연구성과를 제고하고 연구윤리를 확립하여 학문발전에 기여하고 있다.",needs_review,not_applicable,0,manual_complex_nm_criterion;needs_review_status,pending,true
,,Unmatched 3-cycle item requires human deletion/move review.,,chg_00022,삭제/이동후보,3.4,교원의 교육 및 연구 활동 지원,3.4,교원의 연구활동 및 성과,,,true,편람 개요,overview,,c3__3_4__overview__content,,대학은 교원의 교육과 연구활동을 적절히 지원하고 있다.,,needs_review,weak_candidate,3,manual_complex_nm_criterion;source_only_delete_or_move_review;needs_review_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00023,유지,3.5,직원 확보 및 인사,3.5,직원 확보 및 인사,content,content,false,편람 개요,overview,1.000,c3__3_5__overview__content,c4__3_5__overview__content,"대학은 규정에 따라 합리적인 절차를 통하여 일정 규모 이상의 직원을 확보하고, 합리적으로 직원 인사제도를 운영하고 있다.","대학은 규정에 따라 합리적인 절차를 통하여 일정 규모 이상의 직원을 확보하고, 합리적으로 직원 인사제도를 운영하고 있다.",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,,chg_00024,유지,3.6,직원 복지 및 업무 역량 개발 지원,3.6,직원 복지 및 업무 역량 개발,content,content,false,편람 개요,overview,1.000,c3__3_6__overview__content,c4__3_6__overview__content,"대학은 직원에게 적정 수준의 처우와 편의를 제공하고 있으며, 업무 역량 개발을 위하여 다양한 지원과 프로그램을 제공하고 있다.","대학은 직원에게 적정 수준의 처우와 편의를 제공하고 있으며, 업무 역량 개발을 위하여 다양한 지원과 프로그램을 제공하고 있다.",confirmed,not_applicable,0,no_manual_review_trigger,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,,chg_00025,유지,4.1,장학 제도 및 학생자치활동 지원,4.1,장학 제도 및 학생 자치활동 지원,content,content,false,편람 개요,overview,1.000,c3__4_1__overview__content,c4__4_1__overview__content,"대학은 장학 제도를 갖추어 학생들에게 장학금을 지급하고 있고, 학생자치활동을 적절하게 지원하고 교내·외 안전관리를 위해 노력하고 있다.","대학은 장학 제도를 갖추어 학생들에게 장학금을 지급하고 있고, 학생 자치활동을 적절하게 지원하고 교내·외 안전관리를 위해 노력하고 있다.",confirmed,not_applicable,0,no_manual_review_trigger,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00026,신설후보,4.3,학생 권익 보호 및 소수집단학생 지원,4.2,학생 심리상담 및 권익 보호,content,content,true,편람 개요,overview,0.714,c3__4_3__overview__content,c4__4_2__overview__content,대학은 학생의 권익을 보호하기 위한 규정과 체계를 구축하여 운영하고 있다. 또한 대학의 배려가 필요한 소수집단학생 지원을 위한 규정과 체계를 갖추고 다양한 시설과 지원 프로그램을 마련하여 효율적으로 운영하고 있다.,"대학은 학생이 대학 생활에 적응할 수 있도록 예산과 전문 인력을 확보한 학생상담 체계를 구축하고 심리상담을 진행하고 있으며, 개선을 위하여 지속적으로 노력하고 있다. 그리고 대학은 학생의 권익을 보호하기 위한 규정과 체계를 구축하여 운영하고 있다. 또한 대학의 배려가 필요한 소수집단학생 지원을 위한 규정과 체계를 갖추고 다양한 시설과 지원 프로그램을 마련하여 효율적으로 운영하고 있다.",needs_review,possible_candidate,2,manual_complex_nm_criterion;low_similarity_match;needs_review_status;evidence_or_metric_impact,pending,true
,,Unmatched 3-cycle item requires human deletion/move review.,,chg_00027,삭제/이동후보,4.2,학생 심리 및 진로 상담,4.2,학생 심리상담 및 권익 보호,,,true,편람 개요,overview,,c3__4_2__overview__content,,"대학은 학생이 대학생활에 적응할 수 있도록 예산과 전문인력을 확보한 학생상담 체계를 구축하고 심리 및 진로에 대한 상담을 진행하고 있으며, 개선을 위하여 지속적으로 노력하고 있다.",,needs_review,weak_candidate,2,manual_complex_nm_criterion;source_only_delete_or_move_review;needs_review_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,,chg_00028,유지,5.4,취·창업지원 및 성과,4.3,진로 및 취·창업 지원,content,content,true,편람 개요,overview,1.000,c3__5_4__overview__content,c4__4_3__overview__content,대학은 학생들의 진로와 취·창업을 위한 지원체계를 구축하고 예산과 전문 인력을 확보하여 운영하고 있으며 지속적인 개선을 위한 노력을 하고 있다.,대학은 학생들의 진로와 취·창업을 위한 지원 체계를 구축하고 예산과 전문 인력을 확보하여 운영하고 있으며 지속적인 개선을 위한 노력을 하고 있다.,needs_review,not_applicable,0,manual_complex_nm_criterion;needs_review_status,pending,true
,,Unmatched 3-cycle item requires human deletion/move review.,,chg_00029,삭제/이동후보,4.2,학생 심리 및 진로 상담,4.3,진로 및 취·창업 지원,,,true,편람 개요,overview,,c3__4_2__overview__content,,"대학은 학생이 대학생활에 적응할 수 있도록 예산과 전문인력을 확보한 학생상담 체계를 구축하고 심리 및 진로에 대한 상담을 진행하고 있으며, 개선을 위하여 지속적으로 노력하고 있다.",,needs_review,weak_candidate,2,manual_complex_nm_criterion;source_only_delete_or_move_review;needs_review_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,,chg_00030,유지,4.4,교육시설,4.4,교육 시설,content,content,false,편람 개요,overview,1.000,c3__4_4__overview__content,c4__4_4__overview__content,"대학은 수업 및 실험·실습에 필요한 공간을 확보하고, 실험·실습 기자재를 구비하고 있으며, 안전하게 관리하고 있다.","대학은 수업 및 실험·실습에 필요한 공간을 확보하고, 실험·실습 기자재를 구비하고 있으며, 안전하게 관리하고 있다.",confirmed,not_applicable,0,no_manual_review_trigger,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,,chg_00031,유지,4.5,기숙사 및 학생 복지시설,4.5,기숙사 및 학생 복지시설,content,content,false,편람 개요,overview,1.000,c3__4_5__overview__content,c4__4_5__overview__content,"대학은 일정 수준 이상의 기숙사를 확보하고, 다양한 학생 복지시설을 구비하여 체계적으로 관리·운영하고 있다.","대학은 일정 수준 이상의 기숙사를 확보하고, 다양한 학생 복지시설을 구비하여 체계적으로 관리·운영하고 있다.",confirmed,not_applicable,0,no_manual_review_trigger,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00032,유지,4.6,도서관,4.6,도서관,content,content,false,편람 개요,overview,1.000,c3__4_6__overview__content,c4__4_6__overview__content,"대학은 교육과 연구에 필요한 자료구입 예산과 전문 인력을 확보하고 있으며, 정보지원 인프라를 구축하여 효율적으로 운영하고 다양한 교수·학습지원과 문화 프로그램을 지원하고 있다.","대학은 교육과 연구에 필요한 자료 구입 예산과 전문 인력을 확보하고 있으며, 정보지원 인프라를 구축하여 효율적으로 운영하고 다양한 교수·학습 지원과 문화프로그램을 지원하고 있다.",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00033,유지,1.1,교육목표 및 인재상,1.1,교육목표 및 발전계획,정보공시,정보공시:001,false,근거자료,evidence,1.000,c3__1_1__evidence__정보공시:001,c4__1_1__evidence__정보공시:001,1-가. 학교규칙 및 그 밖에 학교운영에 관한 각종 규정,1-가. 학교규칙 및 그 밖에 학교운영에 관한 각종 규정,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00034,유지,1.2,발전계획,1.1,교육목표 및 발전계획,정보공시,정보공시:002,false,근거자료,evidence,1.000,c3__1_2__evidence__정보공시:001,c4__1_1__evidence__정보공시:002,11-가. 학교 발전계획 및 특성화계획,11-가. 학교 발전계획 및 특성화계획,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00035,유지,1.1,교육목표 및 인재상,1.1,교육목표 및 발전계획,제출자료_첨부,제출자료_첨부:001,false,근거자료,evidence,1.000,c3__1_1__evidence__제출자료_첨부:001,c4__1_1__evidence__제출자료_첨부:001,대학요람,대학요람,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
"4주기 1.1에서 '대학 중장기 발전계획서'로 변경됨 (장단기→중장기, 특성화계획서 포함 문구 삭제)","3주기 1.2의 '대학 장단기 발전계획서(특성화계획서 포함)'에서 변경됨 (장단기→중장기, 특성화계획서 포함 문구 삭제)",Change type is heuristic unless verification_status is confirmed.,범위확장;증빙,chg_00036,신설후보,1.2,발전계획,1.1,교육목표 및 발전계획,제출자료_첨부,제출자료_첨부:002,true,근거자료,evidence,0.643,c3__1_2__evidence__제출자료_첨부:001,c4__1_1__evidence__제출자료_첨부:002,대학 장단기 발전계획서(특성화계획서 포함),대학 중장기 발전계획서,needs_review,weak_candidate,5,low_similarity_match;needs_review_status;evidence_or_metric_impact,pending,true
4주기에서 표현 변경: '대학 장단기 발전계획 수립을 위한 구성원 의견 수렴 자료: 수립 당시' → '대학 중장기 발전계획 수립을 위한 구성원 의견 수렴 자료: 현재 발전계획 수립 당시',,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00037,변경,1.2,발전계획,1.1,교육목표 및 발전계획,현지확인자료,현지확인자료:001,false,근거자료,evidence,0.867,c3__1_2__evidence__현지확인자료:001,c4__1_1__evidence__현지확인자료:001,대학 장단기 발전계획 수립을 위한 구성원 의견 수렴 자료: 수립 당시,대학 중장기 발전계획 수립을 위한 구성원 의견 수렴 자료: 현재 발전계획 수립 당시,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00038,유지,1.2,발전계획,1.1,교육목표 및 발전계획,현지확인자료,현지확인자료:002,false,근거자료,evidence,1.000,c3__1_2__evidence__현지확인자료:002,c4__1_1__evidence__현지확인자료:002,발전계획서 및 추진 실적 자료: 최근 3년 자료,발전계획서 및 추진 실적 자료: 최근 3년 자료,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,면담;증빙,chg_00039,유지,1.1,교육목표 및 인재상,1.1,교육목표 및 발전계획,현지면담,현지면담:001,false,근거자료,evidence,1.000,c3__1_1__evidence__현지면담:001,c4__1_1__evidence__현지면담:001,"교무처장, 기획처장","교무처장, 기획처장",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,면담;증빙,chg_00040,유지,1.1,교육목표 및 인재상,1.1,교육목표 및 발전계획,현지면담,현지면담:002,false,근거자료,evidence,1.000,c3__1_1__evidence__현지면담:002,c4__1_1__evidence__현지면담:002,"대학구성원(교수, 직원, 학생)","대학구성원(교수, 직원, 학생)",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,면담;증빙,chg_00041,유지,1.2,발전계획,1.1,교육목표 및 발전계획,현지면담,현지면담:003,false,근거자료,evidence,1.000,c3__1_2__evidence__현지면담:002,c4__1_1__evidence__현지면담:003,발전계획 담당자,발전계획 담당자,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
4주기 1.5(교육성과)로 이동: 동일 문구로 현지확인자료에 유지됨,,Unmatched 3-cycle item requires human deletion/move review.,증빙,chg_00042,이동후보,1.1,교육목표 및 인재상,1.1,교육목표 및 발전계획,,,true,근거자료,evidence,,c3__1_1__evidence__현지확인자료:001,,학생학습성과 관리 및 운영 체계 관련 자료,,needs_review,strong_candidate,4,source_only_delete_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
4주기 1.4(성과관리체계)의 '대학 중장기 발전계획 성과평가 결과와 환류 실적: 최근 3년 자료'로 이동·변경됨,,Unmatched 3-cycle item requires human deletion/move review.,실적기간;증빙,chg_00043,이동후보,1.2,발전계획,1.1,교육목표 및 발전계획,,,true,근거자료,evidence,,c3__1_2__evidence__현지확인자료:003,,발전계획 평가결과와 반영 실적: 최근 3년 자료,,needs_review,weak_candidate,5,source_only_delete_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
"4주기에서 1.1 현지면담 '교무처장, 기획처장'으로 통합됨",,Unmatched 3-cycle item requires human deletion/move review.,면담;증빙,chg_00044,삭제/이동후보,1.2,발전계획,1.1,교육목표 및 발전계획,,,true,근거자료,evidence,,c3__1_2__evidence__현지면담:001,,기획처장,,needs_review,strong_candidate,4,source_only_delete_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00045,유지,1.6,감사,1.2,거버넌스와 감사,제출자료_관련규정,제출자료_관련규정:001,false,근거자료,evidence,1.000,c3__1_6__evidence__제출자료_관련규정:001,c4__1_2__evidence__제출자료_관련규정:001,내・외부 감사 규정,내·외부 감사 규정,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,4주기 신규 추가,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00046,신설후보,,,1.2,거버넌스와 감사,제출자료_관련규정,제출자료_관련규정:002,true,근거자료,evidence,,,c4__1_2__evidence__제출자료_관련규정:002,,공익제보 및 공익제보자 보호 제도 관련 규정,needs_review,possible_candidate,5,target_only_new_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00047,유지,1.3,거버넌스,1.2,거버넌스와 감사,현지확인자료,현지확인자료:001,false,근거자료,evidence,1.000,c3__1_3__evidence__현지확인자료:001,c4__1_2__evidence__현지확인자료:001,대학의 의사결정구조 구축 및 운영에 대한 자료: 최근 3년 자료,대학의 의사결정구조 구축 및 운영에 대한 자료: 최근 3년 자료,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
4주기에서 표현 변경: '대학 구성원 참여 및 소통 체계 및 추진 실적 자료: 최근 3년 자료' → '대학 구성원 참여 및 소통 체계 자료: 최근 3년 자료',,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00048,변경,1.3,거버넌스,1.2,거버넌스와 감사,현지확인자료,현지확인자료:002,false,근거자료,evidence,0.889,c3__1_3__evidence__현지확인자료:002,c4__1_2__evidence__현지확인자료:002,대학 구성원 참여 및 소통 체계 및 추진 실적 자료: 최근 3년 자료,대학 구성원 참여 및 소통 체계 자료: 최근 3년 자료,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
4주기에서 표현 변경: '대학 구성원 참여 및 소통 개선 실적 자료: 최근 3년 자료' → '대학 구성원 참여 및 소통 추진 실적 과 환류 실적 자료: 최근 3년 자료',,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00049,변경,1.3,거버넌스,1.2,거버넌스와 감사,현지확인자료,현지확인자료:003,false,근거자료,evidence,0.816,c3__1_3__evidence__현지확인자료:003,c4__1_2__evidence__현지확인자료:003,대학 구성원 참여 및 소통 개선 실적 자료: 최근 3년 자료,대학 구성원 참여 및 소통 추진 실적 과 환류 실적 자료: 최근 3년 자료,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
