candidate_id,candidate_type,verification_status,candidate_only_warning,section_type,section_label,source_file,source_file_date,input_index,json_path,source_id,ai_group_id,ai_theme,ai_mapping_type,ai_mapping_note,cycle4_criterion,cycle4_title,cycle_context,criterion_context,title_context
cand_00011,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,10,$,,10,학사관리,유지 (1:1),준거번호 및 내용 동일,2.4,학사관리,,,
cand_00012,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,11,$,,11,수업,유지 (1:1),준거번호 및 내용 유지. 4주기에서 '정보체제' → '정보체계' 표현 변경,2.5,수업,,,
cand_00013,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,12,$,,12,교수-학습 지원,유지 (1:1),준거번호 및 내용 동일,2.6,교수-학습 지원,,,
cand_00014,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,13,$,,13,교원 확보,유지 (1:1),준거번호 유지. 4주기에서 '교원 임용정책과 규정에 따라' 표현 추가 및 제목에 '및 구성' 추가,3.1,교원 확보 및 구성,,,
cand_00015,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,14,$,,14,교원 인사 및 업적평가,유지 (1:1),준거번호 및 내용 동일,3.2,교원 인사 및 업적평가,,,
cand_00016,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,15,$,,15,교원 처우 및 복지,유지 (1:1),준거번호 및 내용 동일,3.3,교원 처우 및 복지,,,
cand_00017,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,16,$,,16,교원 연구활동 지원 및 연구성과,통합·이동 (N:1),3주기 3.4(교원의 교육 및 연구 활동 지원)와 5.3(연구성과)이 4주기 3.4로 통합됨. 4주기에서 제목이 '교원의 연구활동 및 성과'로 변경되어 '교육활동 지원' 요소는 축소되고 '연구성과·연구윤리' 요소가 추가됨,3.4,교원의 연구활동 및 성과,,,
cand_00018,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,17,$,,17,직원 확보 및 인사,유지 (1:1),준거번호 및 내용 동일,3.5,직원 확보 및 인사,,,
cand_00019,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,18,$,,18,직원 복지 및 역량 개발,유지 (1:1),준거번호 유지. 4주기에서 제목 중 '역량 개발' → '업무 역량 개발'로 변경,3.6,직원 복지 및 업무 역량 개발,,,
cand_00020,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,19,$,,19,장학 제도 및 학생 자치활동 지원,유지 (1:1),준거번호 유지. 4주기에서 '학생자치활동' → '학생 자치활동'으로 띄어쓰기 변경,4.1,장학 제도 및 학생 자치활동 지원,,,
cand_00021,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,20,$,,20,학생 심리상담 및 권익 보호,통합·분리 (N:1),3주기 4.2(심리·진로 상담)의 '심리상담' 부분과 3주기 4.3(권익보호·소수집단) 전체가 4주기 4.2로 통합됨. 3주기 4.2의 '진로상담' 부분은 4주기 4.3으로 분리 이동됨,4.2,학생 심리상담 및 권익 보호,,,
cand_00022,cycle_partial_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,20,cycle_3[0].partial_mapping_note,,,,,"4.2 중 '심리상담' 부분은 4주기 4.2에, '진로상담' 부분은 4주기 4.3에 각각 대응",,,3,4.2,학생 심리 및 진로 상담
cand_00023,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,21,$,,21,진로 및 취·창업 지원,통합·이동 (N:1),3주기 4.2(학생 심리·진로 상담)의 '진로상담' 부분과 5.4(취·창업지원 및 성과)의 '지원체계' 부분이 4주기 4.3으로 통합됨. 5.4의 취창업·진학 '성과' 측면은 4주기 1.5에 별도 반영됨,4.3,진로 및 취·창업 지원,,,
cand_00024,cycle_partial_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,21,cycle_3[0].partial_mapping_note,,,,,4.2 중 '진로상담' 부분만 4주기 4.3에 대응. '심리상담' 부분은 4주기 4.2에 대응,,,3,4.2,학생 심리 및 진로 상담
cand_00025,cycle_partial_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,21,cycle_3[1].partial_mapping_note,,,,,"5.4 중 '지원체계' 부분은 4주기 4.3에, '취창업·진학 성과' 부분은 4주기 1.5에 대응",,,3,5.4,취·창업지원 및 성과
cand_00026,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,22,$,,22,교육 시설,유지 (1:1),"준거번호 유지. 4주기에서 '수업 및 실험·실습 공간 확보, 기자재 구비' 내용이 구체화됨. ※ 3주기 원문에 4.4 내용이 4.1과 동일하게 기재된 것으로 보이나, 제목 기준으로 교육시설 준거로 처리함",4.4,교육 시설,,,
cand_00027,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,23,$,,23,기숙사 및 학생 복지시설,유지 (1:1),준거번호 유지. 4주기에서 제목 중 '복지시설' → '학생 복지시설'로 변경,4.5,기숙사 및 학생 복지시설,,,
cand_00028,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,overview,편람 개요,"편람원본json/[검증완료]3주기, 4주기 편람 개요 비교(20260417).json",2026-04-17,24,$,,24,도서관,유지 (1:1),"준거번호 및 내용 유지. 4주기에서 '자료구입 예산' → '자료 구입 예산', '교수·학습지원' → '교수·학습 지원'으로 띄어쓰기 변경",4.6,도서관,,,
cand_00029,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,1,$,,1,교육목표 및 발전계획,통합 (N:1),"3주기 1.1(교육목표·인재상)과 1.2(발전계획)이 4주기 1.1로 통합됨. 3주기 1.2 첨부자료 '대학 장단기 발전계획서(특성화계획서 포함)'가 4주기에서 '대학 중장기 발전계획서'로 명칭 변경됨 (장단기→중장기, 특성화계획서 포함 문구 삭제). 3주기 1.2 현지확인자료 '발전계획 평가결과와 반영 실적'은 4주기 1.4(성과관리체계)로 이동·변경됨. 학생학습성과 관리 체계 관련 현지확인자료는 4주기 1.5(교육성과)로 이동.",1.1,교육목표 및 발전계획,,,
cand_00030,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,1,cycle_4.제출자료_첨부[1].mapping_note,c4__1_1__evidence__제출자료_첨부:002,,,,"3주기 1.2의 '대학 장단기 발전계획서(특성화계획서 포함)'에서 변경됨 (장단기→중장기, 특성화계획서 포함 문구 삭제)",,,4,1.1,교육목표 및 발전계획
cand_00031,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,1,cycle_3[0].현지확인자료[0].mapping_note,c3__1_1__evidence__현지확인자료:001,,,,4주기 1.5(교육성과)로 이동: 동일 문구로 현지확인자료에 유지됨,,,3,1.1,교육목표 및 인재상
cand_00032,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,1,cycle_3[1].제출자료_첨부[0].mapping_note,c3__1_2__evidence__제출자료_첨부:001,,,,"4주기 1.1에서 '대학 중장기 발전계획서'로 변경됨 (장단기→중장기, 특성화계획서 포함 문구 삭제)",,,3,1.2,발전계획
cand_00033,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,1,cycle_3[1].현지확인자료[0].mapping_note,c3__1_2__evidence__현지확인자료:001,,,,4주기에서 표현 변경: '대학 장단기 발전계획 수립을 위한 구성원 의견 수렴 자료: 수립 당시' → '대학 중장기 발전계획 수립을 위한 구성원 의견 수렴 자료: 현재 발전계획 수립 당시',,,3,1.2,발전계획
cand_00034,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,1,cycle_3[1].현지확인자료[2].mapping_note,c3__1_2__evidence__현지확인자료:003,,,,4주기 1.4(성과관리체계)의 '대학 중장기 발전계획 성과평가 결과와 환류 실적: 최근 3년 자료'로 이동·변경됨,,,3,1.2,발전계획
cand_00035,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,1,cycle_3[1].현지면담[0].mapping_note,c3__1_2__evidence__현지면담:001,,,,"4주기에서 1.1 현지면담 '교무처장, 기획처장'으로 통합됨",,,3,1.2,발전계획
cand_00036,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,2,$,,2,거버넌스와 감사,통합 (N:1),3주기 1.3(거버넌스)과 1.6(감사)이 4주기 1.2로 통합됨. 4주기에서 '공익제보 및 공익제보자 보호 제도 관련 규정' 관련 규정 신설. 소통 체계와 추진·환류 실적이 분리 기술됨. 감사·공익제보 항목이 현지면담에서 '감사부서 담당자'로 유지됨.,1.2,거버넌스와 감사,,,
cand_00037,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,2,cycle_4.제출자료_관련규정[1].mapping_note,c4__1_2__evidence__제출자료_관련규정:002,,,,4주기 신규 추가,,,4,1.2,거버넌스와 감사
cand_00038,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,2,cycle_4.현지확인자료[6].mapping_note,c4__1_2__evidence__현지확인자료:007,,,,"3주기 1.6의 '공익제보 절차 및 공익제보자 보호 제도 자료'에서 변경됨 (구축·운영 추가, 최근 3년 자료 기간 명시)",,,4,1.2,거버넌스와 감사
cand_00039,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,2,cycle_3[0].현지확인자료[1].mapping_note,c3__1_3__evidence__현지확인자료:002,,,,4주기에서 표현 변경: '대학 구성원 참여 및 소통 체계 및 추진 실적 자료: 최근 3년 자료' → '대학 구성원 참여 및 소통 체계 자료: 최근 3년 자료',,,3,1.3,거버넌스
cand_00040,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,2,cycle_3[0].현지확인자료[2].mapping_note,c3__1_3__evidence__현지확인자료:003,,,,4주기에서 표현 변경: '대학 구성원 참여 및 소통 개선 실적 자료: 최근 3년 자료' → '대학 구성원 참여 및 소통 추진 실적 과 환류 실적 자료: 최근 3년 자료',,,3,1.3,거버넌스
cand_00041,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,2,cycle_3[0].현지면담[1].mapping_note,c3__1_3__evidence__현지면담:002,,,,"4주기에서 표현 변경: '대학 의사결정 참여자- (교수 대표, 직원 대표, 학생 대표)' → '대학 의사결정 참여자: 교수 대표, 직원 대표, 학생 대표'",,,3,1.3,거버넌스
cand_00042,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,2,cycle_3[1].현지확인자료[0].mapping_note,c3__1_6__evidence__현지확인자료:001,,,,"4주기에서 표현 변경: '내・외부 감사보고서: 최근 3년 자료' → '내·외부(교육부, 감사원 등) 감사보고서: 최근 3년 자료'",,,3,1.6,감사
cand_00043,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,2,cycle_3[1].현지확인자료[3].mapping_note,c3__1_6__evidence__현지확인자료:004,,,,"4주기 1.2에서 '공익제보 절차 및 공익제보자 보호 제도 구축·운영 자료: 최근 3년 자료'로 변경됨 (구축·운영 추가, 최근 3년 자료 기간 명시)",,,3,1.6,감사
cand_00044,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,3,$,,3,재정 확보 및 집행,통합 (N:1),3주기 1.4(재정 확보)와 1.5(재정 집행)이 4주기 1.3으로 통합됨. 정보공시·현지확인자료·현지면담 항목은 3주기 1.4와 1.5에 중복 존재하던 것이 4주기에서 단일화됨. 관련 규정·첨부·현지확인자료·현지면담은 3주기 1.5 기준으로 유지.,1.3,재정 확보 및 집행,,,
cand_00045,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,3,cycle_3[0].정보공시[0].mapping_note,c3__1_4__evidence__정보공시:001,,,,"3주기 1.5(재정 집행)에도 동일 항목이 있어, 4주기 1.3 통합 시 단일화됨",,,3,1.4,재정 확보
cand_00046,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,3,cycle_3[0].현지확인자료[0].mapping_note,c3__1_4__evidence__현지확인자료:001,,,,"3주기 1.5(재정 집행)에도 동일 항목이 있어, 4주기 1.3 통합 시 단일화됨",,,3,1.4,재정 확보
cand_00047,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,3,cycle_3[0].현지확인자료[1].mapping_note,c3__1_4__evidence__현지확인자료:002,,,,"3주기 1.5(재정 집행)에도 동일 항목이 있어, 4주기 1.3 통합 시 단일화됨",,,3,1.4,재정 확보
cand_00048,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,3,cycle_3[0].현지면담[0].mapping_note,c3__1_4__evidence__현지면담:001,,,,"3주기 1.5(재정 집행)에도 동일 항목이 있어, 4주기 1.3 통합 시 단일화됨",,,3,1.4,재정 확보
cand_00049,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,4,$,,4,성과관리체계,이동·확장 (1:1),"3주기 5.1(성과관리)이 4주기 1.4(성과관리체계)로 영역 이동·확장됨. 4주기에서 정보공시 '11-가. 학교 발전계획 및 특성화계획', 관련규정 '대학 성과관리 관련 규정', 첨부 '대학 중장기 발전계획서' 신설. 현지확인자료 '대학 중장기 발전계획 성과평가 결과와 환류 실적'은 3주기 1.2의 '발전계획 평가결과와 반영 실적'에서 이동됨. 현지면담 '기획처장'은 3주기 5.1에서 유지(교육만족도조사 담당자는 4주기 1.5로 이관).",1.4,성과관리체계 구축 및 운영,,,
cand_00050,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,4,cycle_4.정보공시[0].mapping_note,c4__1_4__evidence__정보공시:001,,,,4주기 신규 추가,,,4,1.4,성과관리체계 구축 및 운영
cand_00051,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,4,cycle_4.제출자료_관련규정[0].mapping_note,c4__1_4__evidence__제출자료_관련규정:001,,,,4주기 신규 추가,,,4,1.4,성과관리체계 구축 및 운영
cand_00052,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,4,cycle_4.제출자료_첨부[0].mapping_note,c4__1_4__evidence__제출자료_첨부:001,,,,4주기 신규 추가,,,4,1.4,성과관리체계 구축 및 운영
cand_00053,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,4,cycle_4.현지확인자료[0].mapping_note,c4__1_4__evidence__현지확인자료:001,,,,"3주기 1.2의 '발전계획 평가결과와 반영 실적: 최근 3년 자료'에서 이동·변경됨 (1.2→1.4로 영역 이동, '중장기 발전계획 성과평가'로 표현 구체화)",,,4,1.4,성과관리체계 구축 및 운영
cand_00054,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,4,cycle_4.현지면담[0].mapping_note,c4__1_4__evidence__현지면담:001,,,,"3주기 5.1의 '기획처장, 교육만족도조사 담당자'에서 분리·유지됨 (교육만족도조사 담당자는 4주기 1.5(교육성과)로 이관)",,,4,1.4,성과관리체계 구축 및 운영
cand_00055,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,4,cycle_4.현지면담[1].mapping_note,c4__1_4__evidence__현지면담:002,,,,4주기 신규 추가,,,4,1.4,성과관리체계 구축 및 운영
cand_00056,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,4,cycle_3[0].현지확인자료[0].mapping_note,c3__5_1__evidence__현지확인자료:001,,,,4주기에서 표현 변경: '대학 자체평가 결과 반영 자료: 최근 3년 자료' → '대학 자체평가 결과와 반영 자료: 최근 3년 자료',,,3,5.1,성과관리
cand_00057,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,4,cycle_3[0].현지확인자료[1].mapping_note,c3__5_1__evidence__현지확인자료:002,,,,"4주기 1.5(교육성과)로 이동: '교육 만족도 조사 관련 자료(설문지, 분석 결과, 환류 실적 등)'으로 표현 변경",,,3,5.1,성과관리
cand_00058,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,4,cycle_3[0].현지면담[0].mapping_note,c3__5_1__evidence__현지면담:001,,,,4주기 1.5(교육성과) 현지면담으로 이관: '교육 만족도 조사 담당자' 포함. 1.4(성과관리체계)에는 '기획처장'이 별도 유지,,,3,5.1,성과관리
cand_00059,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,4,cycle_3[0].현지면담[1].mapping_note,c3__5_1__evidence__현지면담:002,,,,4주기 1.5(교육성과) 현지면담으로 이동,,,3,5.1,성과관리
cand_00060,group_metadata,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,5,$,,5,교육성과,이동·통합 (N:1),3주기 5.2(교육성과)와 3주기 5.4의 정보공시(5-다. 졸업생의 취업 현황)가 4주기 1.5로 통합됨. 3주기 5.4 중 '취·창업지원' 관련 나머지 근거자료는 4주기 4.3(진로 및 취·창업 지원)으로 분리 이동. 학생학습성과 관리 체계(3주기 1.1 현지확인자료) 및 교육만족도 조사(3주기 5.1 현지확인자료·면담)도 편입. 정보공시 항목 변경: 4-다·4-라-1 → 4-라(학생 충원 현황)로 통합.,1.5,교육성과,,,
cand_00061,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,5,cycle_4.정보공시[0].mapping_note,c4__1_5__evidence__정보공시:001,,,,4주기 신규 추가,,,4,1.5,교육성과
cand_00062,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,5,cycle_4.제출자료_관련규정[0].mapping_note,c4__1_5__evidence__제출자료_관련규정:001,,,,4주기 신규 추가 (3주기 5.1 관련 규정 확장),,,4,1.5,교육성과
cand_00063,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,5,cycle_4.현지확인자료[0].mapping_note,c4__1_5__evidence__현지확인자료:001,,,,3주기 1.1(교육목표 및 인재상) 현지확인자료에서 이동. '최근 3년 자료' 조건 추가,,,4,1.5,교육성과
cand_00064,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,5,cycle_4.현지확인자료[1].mapping_note,c4__1_5__evidence__현지확인자료:002,,,,3주기 5.1(성과관리) 현지확인자료에서 이동. '결과 반영' → '환류 실적'로 표현 변경,,,4,1.5,교육성과
cand_00065,item_mapping_note,candidate,AI metadata is not user-verified; use as a review hint only.,evidence,근거자료,"편람원본json/[검증완료]3주기, 4주기 편람 근거 자료 비교(20260420).json",2026-04-20,5,cycle_4.현지면담[0].mapping_note,c4__1_5__evidence__현지면담:001,,,,4주기 신규 추가,,,4,1.5,교육성과
